1	188.5	2026-06-20 21:03:28	sold	110	customer001@mytix.com
2	152.25	2026-06-21 21:03:28	sold	111	customer001@mytix.com
3	152.25	2026-06-22 21:03:28	sold	112	customer001@mytix.com
4	152.25	2026-06-23 21:03:28	withdrawn	113	customer001@mytix.com
5	152.25	2026-06-24 21:03:28	withdrawn	149	customer001@mytix.com
6	152.25	2026-06-25 21:03:28	active	150	customer001@mytix.com
7	91.04	2026-06-26 21:03:28	active	151	customer001@mytix.com
8	188.5	2026-06-20 21:03:28	sold	114	customer002@mytix.com
9	152.25	2026-06-21 21:03:28	sold	115	customer002@mytix.com
10	152.25	2026-06-22 21:03:28	sold	116	customer002@mytix.com
11	152.25	2026-06-23 21:03:28	withdrawn	117	customer002@mytix.com
12	86.1	2026-06-24 21:03:28	withdrawn	124	customer002@mytix.com
13	86.1	2026-06-25 21:03:28	active	125	customer002@mytix.com
14	86.1	2026-06-26 21:03:28	active	126	customer002@mytix.com
15	188.5	2026-07-10 21:03:28	sold	113	customer001@mytix.com
16	147.9	2026-07-20 21:03:28	sold	113	customer061@mytix.com
17	156.6	2026-07-15 21:03:28	active	113	customer062@mytix.com
18	156.6	2026-07-16 21:03:28	withdrawn	114	customer046@mytix.com
19	156.6	2026-07-17 21:03:28	sold	115	customer047@mytix.com
20	156.6	2026-07-18 21:03:28	active	116	customer048@mytix.com
21	156.6	2026-07-19 21:03:28	withdrawn	117	customer002@mytix.com
22	156.6	2026-07-20 21:03:28	sold	118	customer021@mytix.com
23	156.6	2026-07-21 21:03:28	active	119	customer021@mytix.com
24	156.6	2026-07-22 21:03:28	withdrawn	120	customer021@mytix.com
25	156.6	2026-07-23 21:03:28	sold	121	customer021@mytix.com
26	156.6	2026-07-24 21:03:28	active	122	customer022@mytix.com
27	156.6	2026-07-15 21:03:28	withdrawn	123	customer022@mytix.com
28	88.56	2026-07-16 21:03:28	sold	124	customer002@mytix.com
29	88.56	2026-07-17 21:03:28	active	125	customer002@mytix.com
30	88.56	2026-07-18 21:03:28	withdrawn	126	customer002@mytix.com
31	88.56	2026-07-19 21:03:28	sold	127	customer002@mytix.com
32	64.8	2026-07-20 21:03:28	active	128	customer003@mytix.com
33	64.8	2026-07-21 21:03:28	withdrawn	129	customer003@mytix.com
34	64.8	2026-07-22 21:03:28	sold	130	customer003@mytix.com
35	64.8	2026-07-23 21:03:28	active	131	customer003@mytix.com
36	64.8	2026-07-24 21:03:28	withdrawn	132	customer003@mytix.com
